WER,Truth,Predicted
0.3333333432674408,ik uh ja ik neem uh mijn kinderen,ik ja ik neem mijn kinderen
1.0,en uh,en
1.0,en uh mijn uh,en mijn
1.0,man uh en uh,man en
1.0,ja uh,ja
2.0,mmm ah,ja
inf,mmm,
0.5,ah ja uh,ah ja
2.0,ggg xxx,en
1.0,en uh en uh,en en
0.0,email,email
0.0,email sturen,email sturen
0.0,email sturen ja,email sturen ja
inf,uhu,
0.5,vijf euro,vijf er
inf,ggg,
inf,ggg,
inf,aha ggg,
3.0,dat klopt nia,ja
inf,mmm,
inf,mmm,
1.0,ah oké,oké
inf,uhm,
0.6666666865348816,ma in mijn vrije tijd uh ik uh,maar in mijn vr tijd ik
0.0,ik lees,ik lees
0.4000000059604645,ja ik lees ik uh ik,ja ik las ik ik
0.0,kook,kook
1.0,ik uh,ik
0.5,ik uh ja ik kan uh,ik ja ik kan
1.0,uh slapen,slapen
2.0,unv peuv,oké
1.0,en uh ik uh,en ik
0.5,ik kan uh,ik kan
1.6666666269302368,uh teevee uh teevee kijken,tv tv keken
0.800000011920929,ja ik kan uh en uh en uh,ja ik kan een en
inf,uh,
0.75,luisteren uh naar de radio,lusteren naar die radio
0.5,ja,maar ja
inf,ggg,
inf,mmm,
inf,oh ggg,
inf,uh ggg,
1.0,ha,ja
inf,uhu hobbys,
inf,uh,
inf,mmm,
1.0,uh lezen,lee en
0.75,en uh ja spelijtu,en ja spel het
1.0,spelletjes ja,spelletjes
inf,uh,
0.5,één uur,een uur
inf,mmm,
2.0,uh oef,hoef
2.0,leza ggg,lee
0.0,ja lezen,ja lezen
inf,mmm uh,
0.8571428656578064,het wasu een verjaara uh ja verjaardaguhfeestu,het zo en verjaag ja verjaardag fest
0.0,ja,ja
inf,ggg,
inf,uh,
inf,uh,
1.0,getroua,kit
1.0,getrouwfefeestu,de raf vest
1.0,ja uh,ja
0.0,ik weet het niet,ik weet het niet
inf,ggg,
2.0,een uh,en
0.4285714328289032,ik ik uh ja ik wil graag uh,ik ik ja ik wil ik raak
2.0,voor uh eea cadeau commentv,voor de
1.5,een uh gsm,en guin
1.0,ja ggg,ja
2.0,oh la la ggg,hoi laila
inf,ggg,
inf,uh,
1.0,ik vind uh lekker uh,ik vind laker
0.75,spaghetti en saucev bolognaise,spagetti en sos bolognese
1.0,en uh,en
1.0,fricandellev,friedan del
1.0,ah,ja
0.0,zelf koken,zelf koken
inf,mmm ggg,
inf,ah ah ah mmm,
1.0,omdat uh ik uh,om dat ik
1.0,omdat ik uh,om dat ik
1.0,ah bonv xxx omdat ik uh,ah om dat ik
0.800000011920929,ik hou uh van uh spaghetti uh van uh,ik hou van spaghetti van
1.5,uh saucev bolognaise,sos bolognese
1.0,ja ggg,ja
inf,mmm ggg,
